coin,crash_seed_index,start,end,close_mu,close_sigma,close_nu,close_tau,low_mu,low_sigma,low_nu,low_tau,high_mu,high_sigma,high_nu,high_tau,open_mu,open_sigma,open_nu,open_tau,epsilon
"BTC",41,38483,40883,1,1,1,2.9,2.5,2.5,10,2.3,2.5,2.5,10,2.2,1,1,1,2.9,0.05
"ETH",40,38483,40883,1,1,1,3.3,2.5,2.5,10,2.3,2.5,2.5,10,2.2,1,1,1,3.3,0.05
"BNB",62,30109,32509,1,1,0.97,3,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,0.97,3,0.05
"XRP",15,38483,40883,1,1,1,2.8,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,1,2.8,0.05
"ADA",95,29039,31439,1,1,1.05,3,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,1.05,3,0.05
"DOT",33,5716,8116,1,1,0.97,3,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,0.97,3,0.05
"LTC",18,38483,40883,1,1,0.92,3,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,0.92,3,0.05
"LINK",10,19638,22038,1,1,1.01,3.2,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,1.01,3.2,0.05
"XLM",32,38483,40883,1,1,1,3,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,1,3,0.05
"BCH",29,30325,32725,1,1,1,2.8,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,1,2.8,0.04
"TRX",27,24881,27281,1,1,0.9,3.1,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,0.9,3.1,0.04
"DOGE",91,21846,24246,1,1,1.02,2.5,2.5,2.5,10,2.4,2.5,2.5,10,2.2,1,1,1.02,2.5,0.04