algorithm,year,window_size,mdd,fpv,sharpe,sum_transaction_costs
BestStock,2022,142,0.7114996686241858,0.4916965552929915,-0.008006296296164075,0.0
UCRP,2022,142,0.7715519254195029,0.31757023256511463,-0.014778020131347115,24.15384710064289
UBAH,2022,142,0.7504812133583354,0.33216893993162605,-0.01676823114692954,0.0002803110218895302
Anticor2,2022,142,0.7638475015003793,0.3106262610230066,-0.01798576683323835,33.22854509821978
CWMR_VAR,2022,142,0.9999999999704947,3.259016675022466e-11,-0.2907097861494954,10106.047165033759
EG,2022,142,0.7709093463426443,0.31804603795344405,-0.014860707725563404,22.881462466786555
M0,2022,142,0.771659665574058,0.3686652422702634,-0.01227684534099393,29.826556269750686
OLMAR,2022,142,0.9999998457544745,1.8039066162191928e-07,-0.18442844938681635,7037.1549936148185
ONS,2022,142,0.793662931284171,0.28974451960067443,-0.011494625681793996,137.47061823407122
PAMR,2022,142,0.9999999998382153,1.8838844611784266e-10,-0.2746152554155191,9443.425938324988
RMR,2022,142,1.4169530590842858,-0.0,nan,17512876.10557299
SP,2022,142,0.7715519254195029,0.31757023256511463,-0.014778020131347115,24.15384710064289
UP,2022,142,0.7711490361245585,0.31823715326953067,-0.014864074895996518,22.37870338712868
WMAMR,2022,142,0.9998751072733477,0.00014516258101691685,-0.10726208909875387,3703.987281082354
BestStock,2018_real_whole,142,0.9226769686375165,0.29266437689742564,0.0007613448433811724,0.0
UCRP,2018_real_whole,142,0.8589151582218513,0.23084739067105842,-0.012180005204632137,59.376328425051696
UBAH,2018_real_whole,142,0.8799073277863937,0.2173620612369582,-0.011379350523969416,0.0003397775489625311
Anticor2,2018_real_whole,142,0.8846980614419846,0.2091246946569569,-0.011795910565202876,81.67743418819994
BestStock,2018_syn_whole,142,0.9254428272410994,0.9507648526538199,0.009274269404718906,0.0
UCRP,2018_syn_whole,142,0.8212008651320192,0.23930823920371494,-0.03842849940213083,69.90527685072557
UBAH,2018_syn_whole,142,0.8112667148676151,0.29560657165012494,-0.0261507820055621,0.00033468514045215786
Anticor2,2018_syn_whole,142,0.8432972110742482,0.23731782441534852,-0.0313090312069148,95.09700832848463
BestStock,2018_syn_val,142,0.45489111661805326,2.8489349448897094,0.04692358157368617,0.0
UCRP,2018_syn_val,142,0.3304610121647832,0.7280826952768892,-0.04987365178286551,12.956588439643383
UBAH,2018_syn_val,142,0.1991390898630343,0.9241251334826083,-0.009395356221408366,6.788275936785333e-05
Anticor2,2018_syn_val,142,0.2108785002389173,0.8855748369151996,-0.015614720803356743,18.90662110307109
BestStock,2018_real_val,142,0.4907488203816896,0.6010362591942033,-0.020576431832313433,0.0
UCRP,2018_real_val,142,0.5998899467349887,0.41225188397663703,-0.06604998111576549,8.291786175507777
UBAH,2018_real_val,142,0.5869016368923311,0.42324036659545516,-0.0675222683627036,7.06927697246354e-05
Anticor2,2018_real_val,142,0.5913694804107407,0.41751565363775983,-0.06864017146224333,12.244039519561785